"student_id","admission_no","full_name","class_name","stream_name","gender","average_score","attendance_rate","fee_balance","discipline_cases","activities_count","position","grade"
"101","ADM101","John Doe","Grade 6","Grade 6","male","90.00","79.41","0.00","1","1","-","A"
"102","ADM102","Jane Smith","Grade 6","Grade 6","female","0.00","93.94","80500.00","1","1","-","E"
"103","ADM103","Ali Omondi","Grade 6","Grade 6","male","0.00","90.91","40000.00","1","1","-","E"
"104","PG_86631","Playgroup_Stu_1 Demo","Playgroup","Playgroup","male","0.00","87.88","48000.00","0","0","-","E"
"105","PG_86632","Playgroup_Stu_2 Demo","Playgroup","Playgroup","female","0.00","87.88","48000.00","0","0","-","E"
"106","S2025-TEST-001","Student Seed","Grade 6","Grade 6","male","0.00","87.88","70000.00","0","0","-","E"
"108","S2025-176716484086","Student Seed","Grade 6","Grade 6","male","0.00","93.94","70000.00","0","0","-","E"
"109","S2025-176716538875","Student Seed","Grade 6","Grade 6","male","0.00","90.91","70000.00","0","0","-","E"
"111","KWA-2026-PG-001","Brian Ochieng","Playgroup","Playgroup","male","0.00","81.82","57000.00","0","0","-","E"
"112","KWA-2026-PG-002","Grace Ochieng","Playgroup","Playgroup","female","0.00","90.91","57000.00","0","0","-","E"
"113","KWA-2026-PG-003","Kevin Ochieng","Playgroup","Playgroup","male","0.00","87.88","57000.00","0","0","-","E"
"114","KWA-2026-PP1-001","Faith Mwangi","PP1","PP1","female","0.00","90.91","57000.00","0","0","-","E"
"115","KWA-2026-PP1-002","Dennis Otieno","PP1","PP1","male","0.00","81.82","57000.00","0","0","-","E"
"116","KWA-2026-PP1-003","Mary Njoroge","PP1","PP1","female","0.00","87.88","57000.00","0","0","-","E"
"117","KWA-2026-PP1-004","Peter Kamau","PP1","PP1","male","0.00","87.88","57000.00","0","0","-","E"
"118","KWA-2026-PP1-005","Joy Wambui","PP1","PP1","female","0.00","87.88","57000.00","0","0","-","E"
"119","KWA-2026-PP2-001","Kevin Headteacher","PP2","PP2","male","0.00","93.94","57000.00","0","0","-","E"
"120","KWA-2026-PP2-002","Hope Akinyi","PP2","PP2","female","0.00","81.82","57000.00","0","0","-","E"
"121","KWA-2026-PP2-003","David Kipchoge","PP2","PP2","male","0.00","81.82","57000.00","0","0","-","E"
"122","KWA-2026-PP2-004","Mercy Korir","PP2","PP2","female","0.00","90.91","57000.00","0","0","-","E"
"123","KWA-2026-PP2-005","Michael Korir","PP2","PP2","male","0.00","90.91","57000.00","0","0","-","E"
"124","KWA-2026-G1-001","Daniel Langat","Grade 1","Grade 1","male","0.00","82.35","72000.00","0","0","-","E"
"125","KWA-2026-G1-002","Esther Langat","Grade 1","Grade 1","female","0.00","88.24","72000.00","0","0","-","E"
"126","KWA-2026-G1-003","Joseph Langat","Grade 1","Grade 1","male","0.00","97.06","72000.00","0","0","-","E"
"127","KWA-2026-G1-004","Linda Headteacher","Grade 1","Grade 1","female","0.00","88.24","72000.00","0","0","-","E"
"128","KWA-2026-G1-005","Victor Accountant","Grade 1","Grade 1","male","0.00","94.12","72000.00","0","0","-","E"
"129","KWA-2026-G2-001","Sarah Mutua","Grade 2","Grade 2","female","0.00","84.85","72000.00","0","0","-","E"
"130","KWA-2026-G2-002","Stephen Wekesa","Grade 2","Grade 2","male","0.00","90.91","72000.00","0","0","-","E"
"131","KWA-2026-G2-003","Junior ClassTeacher","Grade 2","Grade 2","female","0.00","87.88","72000.00","0","0","-","E"
"132","KWA-2026-G2-004","George Mutua","Grade 2","Grade 2","male","0.00","87.88","72000.00","0","0","-","E"
"133","KWA-2026-G2-005","Naomi Cherono","Grade 2","Grade 2","female","0.00","72.73","72000.00","0","0","-","E"
"134","KWA-2026-G3-001","Felix Cateress","Grade 3","Grade 3","female","0.00","91.18","72000.00","0","0","-","E"
"135","KWA-2026-G3-002","Patrick Kibet","Grade 3","Grade 3","male","0.00","88.24","72000.00","0","0","-","E"
"136","KWA-2026-G3-003","Catherine Njoroge","Grade 3","Grade 3","female","0.00","91.18","72000.00","0","0","-","E"
"137","KWA-2026-G3-004","Victor Otieno","Grade 3","Grade 3","male","0.00","94.12","72000.00","0","0","-","E"
"138","KWA-2026-G3-005","Beatrice Jepkosgei","Grade 3","Grade 3","female","0.00","88.24","72000.00","0","0","-","E"
"139","KWA-2026-G4-001","Charles Kamau","Grade 4","Grade 4","male","0.00","81.82","123000.00","0","0","-","E"
"140","KWA-2026-G4-002","Agnes Cheruiyot","Grade 4","Grade 4","female","0.00","96.97","90000.00","0","0","-","E"
"141","KWA-2026-G4-003","Diana Accountant","Grade 4","Grade 4","male","0.00","81.82","123000.00","0","0","-","E"
"142","KWA-2026-G4-004","Monica Chepkemoi","Grade 4","Grade 4","female","0.00","90.91","90000.00","0","0","-","E"
"143","KWA-2026-G4-005","Paul Barasa","Grade 4","Grade 4","male","0.00","84.85","123000.00","0","0","-","E"
"144","KWA-2026-G5-001","Susan Mburu","Grade 5","Grade 5","female","0.00","87.88","142800.00","0","0","-","E"
"145","KWA-2026-G5-002","Robert Simiyu","Grade 5","Grade 5","male","0.00","90.91","142800.00","0","0","-","E"
